Applied potential (V)   WE current (A)
    -0.3202      -1.95e-09
    -0.3102     -1.939e-09
    -0.3002     -1.935e-09
    -0.2902      -1.93e-09
    -0.2802     -1.923e-09
    -0.2702     -1.911e-09
    -0.2602     -1.907e-09
    -0.2502     -1.897e-09
    -0.2402     -1.887e-09
    -0.2302      -1.88e-09
    -0.2202     -1.869e-09
    -0.2102     -1.856e-09
    -0.2002     -1.845e-09
    -0.1901     -1.837e-09
    -0.1801     -1.819e-09
    -0.1701     -1.805e-09
    -0.1601      -1.79e-09
    -0.1501     -1.766e-09
    -0.1401     -1.743e-09
    -0.1301     -1.712e-09
    -0.1201     -1.675e-09
    -0.1101      -1.63e-09
    -0.1001      -1.57e-09
   -0.09007     -1.497e-09
   -0.08006     -1.404e-09
   -0.07005     -1.281e-09
   -0.06005     -1.144e-09
   -0.05004      -9.78e-10
   -0.04003     -7.779e-10
   -0.03002     -5.561e-10
   -0.02002     -3.053e-10
   -0.01001     -3.852e-11
          0       2.33e-10
