Applied potential (V)   WE current (A)
          0      6.088e-10
    0.01001      8.915e-10
    0.02002       1.17e-09
    0.03002      1.427e-09
    0.04003      1.661e-09
    0.05004      1.868e-09
    0.06005      2.044e-09
    0.07005      2.197e-09
    0.08006       2.32e-09
    0.09007      2.424e-09
     0.1001      2.505e-09
     0.1101       2.57e-09
     0.1201      2.624e-09
     0.1301      2.673e-09
     0.1401      2.709e-09
     0.1501      2.742e-09
     0.1601      2.769e-09
     0.1701        2.8e-09
     0.1801      2.817e-09
     0.1901       2.84e-09
     0.2002      2.861e-09
     0.2102       2.88e-09
     0.2202      2.894e-09
     0.2302      2.912e-09
     0.2402      2.931e-09
     0.2502      2.944e-09
     0.2602      2.965e-09
     0.2702      2.971e-09
     0.2802      2.992e-09
     0.2902          3e-09
     0.3002      3.017e-09
     0.3102      3.029e-09
     0.3202      3.043e-09
     0.3303      3.048e-09
     0.3403      3.063e-09
     0.3503      3.078e-09
     0.3603      3.087e-09
     0.3703      3.101e-09
     0.3803      3.111e-09
     0.3903      3.119e-09
     0.4003      3.131e-09
     0.4103      3.141e-09
     0.4203      3.149e-09
     0.4303      3.156e-09
     0.4403      3.164e-09
     0.4503      3.172e-09
     0.4604      3.182e-09
     0.4704      3.194e-09
     0.4804        3.2e-09
     0.4904      3.206e-09
     0.5004      3.216e-09
     0.4904      3.203e-09
     0.4804      3.195e-09
     0.4704      3.184e-09
     0.4604       3.17e-09
     0.4503      3.165e-09
     0.4403      3.143e-09
     0.4303      3.136e-09
     0.4203      3.129e-09
     0.4103      3.115e-09
     0.4003      3.104e-09
     0.3903      3.093e-09
     0.3803      3.084e-09
     0.3703      3.071e-09
     0.3603      3.056e-09
     0.3503      3.047e-09
     0.3403      3.036e-09
     0.3303      3.019e-09
     0.3202      3.003e-09
     0.3102      2.986e-09
     0.3002      2.975e-09
     0.2902      2.966e-09
     0.2802      2.945e-09
     0.2702      2.932e-09
     0.2602      2.917e-09
     0.2502        2.9e-09
     0.2402      2.887e-09
     0.2302      2.868e-09
     0.2202      2.853e-09
     0.2102      2.832e-09
     0.2002      2.814e-09
     0.1901      2.795e-09
     0.1801      2.768e-09
     0.1701       2.75e-09
     0.1601      2.728e-09
     0.1501      2.699e-09
     0.1401      2.668e-09
     0.1301      2.632e-09
     0.1201      2.589e-09
     0.1101      2.531e-09
     0.1001      2.463e-09
    0.09007      2.381e-09
    0.08006      2.276e-09
    0.07005      2.157e-09
    0.06005      2.011e-09
    0.05004      1.834e-09
    0.04003      1.623e-09
    0.03002       1.39e-09
    0.02002       1.14e-09
    0.01001      8.586e-10
          0      5.787e-10
   -0.01001      2.959e-10
   -0.02002      1.503e-11
   -0.03002     -2.433e-10
   -0.04003     -1.475e-10
   -0.05004       -6.2e-10
   -0.06005     -9.808e-10
   -0.07005     -9.347e-10
   -0.08006     -1.069e-09
   -0.09007     -1.158e-09
    -0.1001     -1.241e-09
    -0.1101     -1.311e-09
    -0.1201     -1.359e-09
    -0.1301     -1.409e-09
    -0.1401     -1.452e-09
    -0.1501     -1.482e-09
    -0.1601     -1.516e-09
    -0.1701     -1.528e-09
    -0.1801     -1.554e-09
    -0.1901     -1.584e-09
    -0.2002       -1.6e-09
    -0.2102     -1.617e-09
    -0.2202     -1.634e-09
    -0.2302     -1.652e-09
    -0.2402     -1.667e-09
    -0.2502     -1.691e-09
    -0.2602     -1.704e-09
    -0.2702     -1.723e-09
    -0.2802     -1.737e-09
    -0.2902     -1.753e-09
    -0.3002     -1.765e-09
    -0.3102     -1.781e-09
    -0.3202     -1.797e-09
    -0.3303     -1.816e-09
    -0.3403      -1.83e-09
    -0.3503     -1.839e-09
    -0.3603     -1.857e-09
    -0.3703     -1.867e-09
    -0.3803     -1.882e-09
    -0.3903     -1.896e-09
    -0.4003     -1.914e-09
    -0.4103     -1.928e-09
    -0.4203     -1.932e-09
    -0.4303     -1.947e-09
    -0.4403     -1.953e-09
    -0.4503      -1.97e-09
    -0.4604     -1.984e-09
    -0.4704     -1.997e-09
    -0.4804     -2.011e-09
    -0.4904     -2.025e-09
    -0.5004     -2.028e-09
    -0.4904     -2.042e-09
    -0.4804     -2.022e-09
    -0.4704     -2.023e-09
    -0.4604     -2.016e-09
    -0.4503     -2.011e-09
    -0.4403     -2.009e-09
    -0.4303     -2.003e-09
    -0.4203     -1.998e-09
    -0.4103     -1.993e-09
    -0.4003     -1.992e-09
    -0.3903     -1.984e-09
    -0.3803     -1.984e-09
    -0.3703     -1.977e-09
    -0.3603      -1.97e-09
    -0.3503     -1.963e-09
    -0.3403     -1.962e-09
    -0.3303     -1.951e-09
