Applied potential (V)   WE current (A)
          0     -6.257e-09
    0.01001     -6.144e-09
    0.02002     -5.984e-09
    0.03002     -5.749e-09
    0.04003     -5.543e-09
    0.05004     -5.402e-09
    0.06005     -5.205e-09
    0.07005      -5.12e-09
    0.08006     -4.951e-09
    0.09007     -4.829e-09
     0.1001     -4.744e-09
     0.1101      -4.66e-09
     0.1201     -4.425e-09
     0.1301     -4.181e-09
     0.1401     -3.861e-09
     0.1501     -3.485e-09
     0.1601     -3.194e-09
     0.1701     -2.856e-09
     0.1801     -2.565e-09
     0.1901     -2.311e-09
     0.2002     -1.982e-09
     0.2102     -1.823e-09
     0.2202     -1.616e-09
     0.2302     -1.184e-09
     0.2402     -7.985e-10
     0.2502     -7.328e-10
     0.2602     -5.543e-10
     0.2702     -1.221e-10
     0.2802      3.194e-10
     0.2902      6.388e-10
     0.3002      8.831e-10
     0.3102      1.146e-09
     0.3202      1.362e-09
     0.3303      1.475e-09
     0.3403      1.635e-09
     0.3503      1.926e-09
     0.3603      2.255e-09
     0.3703      2.396e-09
     0.3803      2.508e-09
     0.3903      2.668e-09
     0.4003      2.743e-09
     0.4103        2.8e-09
     0.4203      2.847e-09
     0.4303      2.912e-09
     0.4403      2.959e-09
     0.4503      2.997e-09
     0.4604      3.025e-09
     0.4704      3.091e-09
     0.4804      3.157e-09
     0.4904      3.279e-09
     0.5004      3.476e-09
     0.4904      3.786e-09
     0.4804      4.134e-09
     0.4704      4.359e-09
     0.4604       4.65e-09
     0.4503      4.913e-09
     0.4403      5.186e-09
     0.4303      5.364e-09
     0.4203      5.468e-09
     0.4103      5.994e-09
     0.4003       6.36e-09
     0.3903      6.548e-09
     0.3803      6.755e-09
     0.3703      7.083e-09
     0.3603      7.384e-09
     0.3503      7.609e-09
     0.3403      7.873e-09
     0.3303      8.032e-09
     0.3202      8.164e-09
     0.3102      8.201e-09
     0.3002      8.511e-09
     0.2902      8.765e-09
     0.2802      8.821e-09
     0.2702      8.943e-09
     0.2602      9.019e-09
     0.2502      9.028e-09
     0.2402      9.009e-09
     0.2302      9.009e-09
     0.2202      9.056e-09
     0.2102      9.056e-09
     0.2002      9.047e-09
     0.1901      8.981e-09
     0.1801       8.99e-09
     0.1701      8.962e-09
     0.1601      8.765e-09
     0.1501      8.427e-09
     0.1401      8.089e-09
     0.1301      7.647e-09
     0.1201      7.309e-09
     0.1101       6.98e-09
     0.1001      6.604e-09
    0.09007        6.2e-09
    0.08006       6.05e-09
    0.07005       5.43e-09
    0.06005      4.866e-09
    0.05004      4.481e-09
    0.04003      4.002e-09
    0.03002      3.495e-09
    0.02002      2.893e-09
    0.01001      2.273e-09
          0      1.738e-09
   -0.01001      1.221e-09
   -0.02002      8.173e-10
   -0.03002      5.073e-10
   -0.04003      6.576e-11
   -0.05004      -4.04e-10
   -0.06005     -7.234e-10
   -0.07005      -9.77e-10
   -0.08006     -1.249e-09
   -0.09007     -1.475e-09
    -0.1001     -1.635e-09
    -0.1101     -1.766e-09
    -0.1201     -1.888e-09
    -0.1301     -2.039e-09
    -0.1401     -2.104e-09
    -0.1501      -2.18e-09
    -0.1601     -2.264e-09
    -0.1701     -2.424e-09
    -0.1801     -2.649e-09
    -0.1901     -2.884e-09
    -0.2002     -3.222e-09
    -0.2102     -3.617e-09
    -0.2202     -3.889e-09
    -0.2302     -4.115e-09
    -0.2402     -4.434e-09
    -0.2502     -4.697e-09
    -0.2602     -4.848e-09
    -0.2702     -5.035e-09
    -0.2802     -5.449e-09
    -0.2902     -5.796e-09
    -0.3002     -6.022e-09
    -0.3102      -6.21e-09
    -0.3202     -6.454e-09
    -0.3303     -6.867e-09
    -0.3403     -7.149e-09
    -0.3503     -7.356e-09
    -0.3603     -7.572e-09
    -0.3703      -7.76e-09
    -0.3803     -7.816e-09
    -0.3903     -7.966e-09
    -0.4003      -8.22e-09
    -0.4103      -8.38e-09
    -0.4203     -8.483e-09
    -0.4303     -8.586e-09
    -0.4403     -8.633e-09
    -0.4503     -8.624e-09
    -0.4604     -8.596e-09
    -0.4704     -8.615e-09
    -0.4804     -8.624e-09
    -0.4904     -8.633e-09
    -0.5004     -8.596e-09
    -0.4904     -8.586e-09
    -0.4804     -8.521e-09
    -0.4704     -8.408e-09
    -0.4604      -8.22e-09
    -0.4503      -7.91e-09
    -0.4403     -7.581e-09
    -0.4303     -7.252e-09
    -0.4203     -6.999e-09
    -0.4103     -6.708e-09
    -0.4003     -6.379e-09
    -0.3903     -6.078e-09
    -0.3803     -5.947e-09
    -0.3703     -5.646e-09
    -0.3603     -5.195e-09
    -0.3503     -4.857e-09
    -0.3403     -4.584e-09
    -0.3303     -4.444e-09
    -0.3202     -4.134e-09
    -0.3102     -3.758e-09
    -0.3002     -3.382e-09
    -0.2902     -3.128e-09
    -0.2802      -2.94e-09
    -0.2702     -2.706e-09
    -0.2602      -2.63e-09
    -0.2502     -2.461e-09
    -0.2402     -2.095e-09
    -0.2302     -1.907e-09
    -0.2202     -1.794e-09
    -0.2102     -1.635e-09
    -0.2002     -1.494e-09
    -0.1901       -1.4e-09
    -0.1801     -1.353e-09
    -0.1701     -1.325e-09
    -0.1601     -1.202e-09
    -0.1501     -1.156e-09
    -0.1401     -1.071e-09
    -0.1301     -1.043e-09
