Applied potential (V)   WE current (A)
   -0.01001     -2.677e-10
   -0.02002     -5.317e-10
   -0.03002     -7.788e-10
   -0.04003     -1.004e-09
   -0.05004     -1.203e-09
   -0.06005     -1.373e-09
   -0.07005     -1.517e-09
   -0.08006     -1.636e-09
   -0.09007     -1.731e-09
    -0.1001     -1.808e-09
    -0.1101      -1.87e-09
    -0.1201     -1.921e-09
    -0.1301     -1.961e-09
    -0.1401     -1.994e-09
    -0.1501     -2.024e-09
    -0.1601     -2.048e-09
    -0.1701     -2.069e-09
    -0.1801     -2.086e-09
    -0.1901     -2.104e-09
    -0.2002      -2.12e-09
    -0.2102     -2.135e-09
    -0.2202     -2.149e-09
    -0.2302     -2.163e-09
    -0.2402     -2.176e-09
    -0.2502     -2.189e-09
    -0.2602     -2.199e-09
    -0.2702     -2.212e-09
    -0.2802     -2.223e-09
    -0.2902     -2.235e-09
    -0.3002     -2.244e-09
    -0.3102     -2.257e-09
    -0.3202     -2.265e-09
    -0.3303     -2.275e-09
    -0.3403     -2.286e-09
    -0.3503     -2.294e-09
    -0.3603     -2.304e-09
    -0.3703     -2.313e-09
    -0.3803     -2.323e-09
    -0.3903     -2.332e-09
    -0.4003     -2.341e-09
    -0.4103      -2.35e-09
    -0.4203     -2.358e-09
    -0.4303     -2.366e-09
    -0.4403     -2.375e-09
    -0.4503     -2.383e-09
    -0.4604     -2.392e-09
    -0.4704     -2.399e-09
    -0.4804     -2.408e-09
    -0.4904     -2.417e-09
    -0.5004     -2.424e-09
    -0.4904     -2.415e-09
    -0.4804     -2.408e-09
    -0.4704     -2.398e-09
    -0.4604     -2.391e-09
    -0.4503     -2.382e-09
    -0.4403     -2.372e-09
    -0.4303     -2.364e-09
    -0.4203     -2.354e-09
    -0.4103     -2.346e-09
    -0.4003     -2.337e-09
    -0.3903     -2.327e-09
    -0.3803     -2.318e-09
    -0.3703     -2.308e-09
    -0.3603     -2.301e-09
    -0.3503      -2.29e-09
    -0.3403      -2.28e-09
    -0.3303     -2.271e-09
    -0.3202      -2.26e-09
    -0.3102     -2.249e-09
    -0.3002     -2.239e-09
    -0.2902     -2.228e-09
    -0.2802     -2.215e-09
    -0.2702     -2.205e-09
    -0.2602     -2.192e-09
    -0.2502      -2.18e-09
    -0.2402     -2.166e-09
    -0.2302     -2.153e-09
    -0.2202     -2.139e-09
    -0.2102     -2.125e-09
    -0.2002     -2.109e-09
    -0.1901     -2.094e-09
    -0.1801     -2.076e-09
    -0.1701     -2.057e-09
    -0.1601     -2.036e-09
    -0.1501     -2.011e-09
    -0.1401     -1.983e-09
    -0.1301      -1.95e-09
    -0.1201      -1.91e-09
    -0.1101     -1.859e-09
    -0.1001     -1.797e-09
   -0.09007      -1.72e-09
   -0.08006     -1.624e-09
   -0.07005     -1.506e-09
   -0.06005     -1.362e-09
   -0.05004     -1.193e-09
   -0.04003     -9.949e-10
   -0.03002     -7.703e-10
   -0.02002     -5.233e-10
   -0.01001      -2.63e-10
          0      6.576e-12
