Applied potential (V)   WE current (A)
          0      6.576e-12
    0.01001       2.79e-10
    0.02002      5.439e-10
    0.03002       7.91e-10
    0.04003      1.016e-09
    0.05004      1.216e-09
    0.06005      1.385e-09
    0.07005      1.528e-09
    0.08006      1.646e-09
    0.09007      1.741e-09
     0.1001       1.82e-09
     0.1101      1.883e-09
     0.1201      1.934e-09
     0.1301      1.976e-09
     0.1401      2.008e-09
     0.1501      2.036e-09
     0.1601      2.059e-09
     0.1701      2.081e-09
     0.1801        2.1e-09
     0.1901      2.117e-09
     0.2002      2.134e-09
     0.2102      2.149e-09
     0.2202      2.164e-09
     0.2302      2.178e-09
     0.2402      2.191e-09
     0.2502      2.211e-09
     0.2602      2.212e-09
     0.2702      2.224e-09
     0.2802      2.242e-09
     0.2902      2.249e-09
     0.3002      2.259e-09
     0.3102      2.271e-09
     0.3202      2.281e-09
     0.3303      2.291e-09
     0.3403      2.301e-09
     0.3503      2.311e-09
     0.3603       2.32e-09
     0.3703       2.33e-09
     0.3803       2.34e-09
     0.3903       2.35e-09
     0.4003      2.356e-09
     0.4103      2.364e-09
     0.4203      2.373e-09
     0.4303      2.382e-09
     0.4403      2.391e-09
     0.4503      2.399e-09
     0.4604      2.407e-09
     0.4704      2.415e-09
     0.4804      2.423e-09
     0.4904      2.432e-09
     0.5004       2.44e-09
     0.4904      2.432e-09
     0.4804      2.424e-09
     0.4704      2.415e-09
     0.4604      2.407e-09
     0.4503      2.397e-09
     0.4403       2.39e-09
     0.4303      2.381e-09
     0.4203      2.372e-09
     0.4103      2.362e-09
     0.4003      2.352e-09
     0.3903      2.343e-09
     0.3803      2.334e-09
     0.3703      2.324e-09
     0.3603      2.315e-09
     0.3503      2.304e-09
     0.3403      2.295e-09
     0.3303      2.286e-09
     0.3202      2.276e-09
     0.3102      2.265e-09
     0.3002      2.254e-09
     0.2902      2.243e-09
     0.2802      2.232e-09
     0.2702      2.222e-09
     0.2602       2.21e-09
     0.2502      2.196e-09
     0.2402      2.185e-09
     0.2302      2.172e-09
     0.2202      2.158e-09
     0.2102      2.143e-09
     0.2002      2.127e-09
     0.1901       2.11e-09
     0.1801      2.094e-09
     0.1701      2.075e-09
     0.1601      2.053e-09
     0.1501      2.028e-09
     0.1401      1.999e-09
     0.1301      1.965e-09
     0.1201      1.925e-09
     0.1101      1.875e-09
     0.1001      1.813e-09
    0.09007      1.736e-09
    0.08006       1.64e-09
    0.07005      1.523e-09
    0.06005      1.379e-09
    0.05004      1.209e-09
    0.04003      1.012e-09
    0.03002      7.854e-10
    0.02002      5.392e-10
    0.01001      2.743e-10
          0      3.758e-12
