Applied potential (V)   WE current (A)
     0.1301      2.061e-09
     0.1201      2.018e-09
     0.1101      1.964e-09
     0.1001      1.899e-09
    0.09007      1.818e-09
    0.08006      1.716e-09
    0.07005       1.59e-09
    0.06005      1.439e-09
    0.05004      1.263e-09
    0.04003      1.054e-09
    0.03002      8.201e-10
    0.02002      5.637e-10
    0.01001      2.875e-10
          0      6.576e-12
   -0.01001     -2.762e-10
   -0.02002     -5.505e-10
   -0.03002     -8.098e-10
   -0.04003     -1.044e-09
   -0.05004     -1.252e-09
   -0.06005      -1.43e-09
   -0.07005     -1.581e-09
   -0.08006     -1.708e-09
   -0.09007     -1.809e-09
    -0.1001     -1.892e-09
    -0.1101     -1.957e-09
    -0.1201      -2.01e-09
    -0.1301     -2.055e-09
    -0.1401     -2.092e-09
    -0.1501      -2.12e-09
    -0.1601     -2.146e-09
    -0.1701     -2.168e-09
    -0.1801     -2.188e-09
    -0.1901     -2.207e-09
    -0.2002     -2.223e-09
    -0.2102      -2.24e-09
    -0.2202     -2.254e-09
    -0.2302     -2.267e-09
    -0.2402      -2.28e-09
    -0.2502     -2.292e-09
    -0.2602     -2.304e-09
    -0.2702     -2.317e-09
    -0.2802      -2.33e-09
    -0.2902     -2.342e-09
    -0.3002     -2.353e-09
    -0.3102     -2.364e-09
    -0.3202     -2.376e-09
    -0.3303     -2.386e-09
    -0.3403     -2.398e-09
    -0.3503     -2.408e-09
    -0.3603     -2.418e-09
    -0.3703     -2.428e-09
    -0.3803     -2.439e-09
    -0.3903     -2.449e-09
    -0.4003     -2.459e-09
    -0.4103     -2.469e-09
    -0.4203     -2.477e-09
    -0.4303     -2.486e-09
    -0.4403     -2.494e-09
    -0.4503     -2.505e-09
    -0.4604     -2.512e-09
    -0.4704     -2.522e-09
    -0.4804      -2.53e-09
    -0.4904     -2.538e-09
    -0.5004     -2.548e-09
    -0.4904     -2.538e-09
    -0.4804      -2.53e-09
    -0.4704      -2.52e-09
    -0.4604      -2.51e-09
    -0.4503     -2.502e-09
    -0.4403     -2.492e-09
    -0.4303     -2.484e-09
    -0.4203     -2.473e-09
    -0.4103     -2.464e-09
    -0.4003     -2.455e-09
    -0.3903     -2.444e-09
    -0.3803     -2.434e-09
    -0.3703     -2.423e-09
    -0.3603     -2.413e-09
    -0.3503     -2.403e-09
    -0.3403     -2.393e-09
    -0.3303     -2.383e-09
    -0.3202      -2.37e-09
    -0.3102     -2.361e-09
    -0.3002      -2.35e-09
    -0.2902     -2.337e-09
    -0.2802     -2.327e-09
    -0.2702     -2.315e-09
    -0.2602     -2.303e-09
    -0.2502     -2.289e-09
    -0.2402     -2.277e-09
    -0.2302     -2.265e-09
    -0.2202     -2.249e-09
    -0.2102     -2.235e-09
    -0.2002      -2.22e-09
    -0.1901     -2.204e-09
    -0.1801     -2.185e-09
    -0.1701     -2.164e-09
    -0.1601     -2.143e-09
    -0.1501     -2.117e-09
    -0.1401     -2.087e-09
    -0.1301     -2.053e-09
    -0.1201      -2.01e-09
    -0.1101     -1.956e-09
    -0.1001     -1.891e-09
   -0.09007     -1.808e-09
   -0.08006     -1.709e-09
   -0.07005     -1.582e-09
   -0.06005     -1.432e-09
   -0.05004     -1.253e-09
   -0.04003     -1.047e-09
   -0.03002     -8.126e-10
   -0.02002     -5.543e-10
   -0.01001     -2.809e-10
          0      9.394e-13
