Applied potential (V)   WE current (A)
          0      5.637e-12
    0.01001      2.865e-10
    0.02002       5.59e-10
    0.03002      8.173e-10
    0.04003       1.05e-09
    0.05004      1.256e-09
    0.06005      1.431e-09
    0.07005      1.584e-09
    0.08006      1.709e-09
    0.09007      1.808e-09
     0.1001      1.892e-09
     0.1101      1.957e-09
     0.1201      2.012e-09
     0.1301      2.055e-09
     0.1401      2.092e-09
     0.1501      2.121e-09
     0.1601      2.147e-09
     0.1701       2.17e-09
     0.1801      2.191e-09
     0.1901      2.209e-09
     0.2002      2.222e-09
     0.2102      2.243e-09
     0.2202      2.257e-09
     0.2302      2.273e-09
     0.2402      2.288e-09
     0.2502      2.301e-09
     0.2602      2.313e-09
     0.2702      2.326e-09
     0.2802      2.338e-09
     0.2902      2.351e-09
     0.3002      2.363e-09
     0.3102      2.374e-09
     0.3202      2.386e-09
     0.3303      2.397e-09
     0.3403      2.409e-09
     0.3503      2.417e-09
     0.3603      2.426e-09
     0.3703      2.434e-09
     0.3803      2.445e-09
     0.3903      2.456e-09
     0.4003      2.463e-09
     0.4103      2.472e-09
     0.4203      2.482e-09
     0.4303      2.491e-09
     0.4403      2.499e-09
     0.4503      2.508e-09
     0.4604      2.515e-09
     0.4704      2.523e-09
     0.4804      2.532e-09
     0.4904       2.54e-09
     0.5004      2.548e-09
     0.4904      2.538e-09
     0.4804       2.53e-09
     0.4704      2.518e-09
     0.4604       2.51e-09
     0.4503      2.501e-09
     0.4403      2.492e-09
     0.4303      2.484e-09
     0.4203      2.474e-09
     0.4103      2.465e-09
     0.4003      2.457e-09
     0.3903      2.447e-09
     0.3803      2.437e-09
     0.3703      2.428e-09
     0.3603      2.423e-09
     0.3503      2.408e-09
     0.3403      2.397e-09
     0.3303      2.387e-09
     0.3202      2.378e-09
     0.3102      2.366e-09
     0.3002      2.357e-09
     0.2902      2.345e-09
     0.2802      2.333e-09
     0.2702       2.32e-09
     0.2602       2.31e-09
     0.2502      2.299e-09
     0.2402      2.285e-09
     0.2302      2.273e-09
     0.2202      2.259e-09
     0.2102      2.244e-09
     0.2002      2.232e-09
     0.1901      2.211e-09
     0.1801      2.195e-09
     0.1701      2.172e-09
     0.1601      2.152e-09
     0.1501      2.127e-09
     0.1401      2.095e-09
