    -0.3202 ;   2.001e-09
    -0.3102 ;   2.029e-09
    -0.3002 ;   2.114e-09
    -0.2902 ;   2.189e-09
    -0.2802 ;   2.273e-09
    -0.2702 ;   2.349e-09
    -0.2602 ;   2.471e-09
    -0.2502 ;   2.536e-09
    -0.2402 ;    2.64e-09
    -0.2302 ;   2.715e-09
    -0.2202 ;     2.8e-09
    -0.2102 ;   2.856e-09
    -0.2002 ;   2.969e-09
    -0.1901 ;   3.063e-09
    -0.1801 ;   3.138e-09
    -0.1701 ;   3.185e-09
    -0.1601 ;   3.297e-09
    -0.1501 ;   3.326e-09
    -0.1401 ;   3.391e-09
    -0.1301 ;   3.514e-09
    -0.1201 ;    3.57e-09
    -0.1101 ;   3.683e-09
    -0.1001 ;   3.777e-09
   -0.09007 ;    3.87e-09
   -0.08006 ;    4.03e-09
   -0.07005 ;   4.199e-09
   -0.06005 ;   4.312e-09
   -0.05004 ;   4.556e-09
   -0.04003 ;   4.754e-09
   -0.03002 ;    4.97e-09
   -0.02002 ;   5.214e-09
   -0.01001 ;   5.439e-09
          0 ;   5.787e-09
