Applied potential (V)   WE current (A)
          0      4.227e-11
    0.01001      3.053e-10
    0.02002      5.599e-10
    0.03002      7.901e-10
    0.04003      1.001e-09
    0.05004      1.183e-09
    0.06005      1.335e-09
    0.07005      1.456e-09
    0.08006      1.557e-09
    0.09007      1.637e-09
     0.1001      1.693e-09
     0.1101      1.735e-09
     0.1201      1.768e-09
     0.1301      1.788e-09
     0.1401      1.801e-09
     0.1501      1.813e-09
     0.1601      1.817e-09
     0.1701      1.817e-09
     0.1801      1.816e-09
     0.1901      1.815e-09
     0.2002      1.813e-09
     0.2102      1.814e-09
     0.2202      1.808e-09
     0.2302      1.806e-09
     0.2402      1.804e-09
     0.2502      1.797e-09
     0.2602      1.793e-09
     0.2702      1.792e-09
     0.2802      1.784e-09
     0.2902      1.779e-09
     0.3002       1.78e-09
     0.3102      1.778e-09
     0.3202      1.777e-09
     0.3303       1.74e-09
     0.3403      1.765e-09
     0.3503      1.782e-09
     0.3603       1.77e-09
     0.3703      1.781e-09
     0.3803      1.768e-09
     0.3903      1.766e-09
     0.4003      1.766e-09
     0.4103      1.762e-09
     0.4203      1.765e-09
     0.4303      1.762e-09
     0.4403      1.762e-09
     0.4503      1.758e-09
     0.4604      1.762e-09
     0.4704       1.76e-09
     0.4804      1.756e-09
     0.4904      1.757e-09
     0.5004       1.76e-09
     0.4904      1.742e-09
     0.4804       1.73e-09
     0.4704      1.707e-09
     0.4604      1.692e-09
     0.4503      1.674e-09
     0.4403      1.662e-09
     0.4303      1.645e-09
     0.4203      1.633e-09
     0.4103      1.618e-09
     0.4003      1.602e-09
     0.3903       1.59e-09
     0.3803      1.573e-09
     0.3703      1.557e-09
     0.3603      1.547e-09
     0.3503      1.529e-09
     0.3403      1.521e-09
     0.3303      1.503e-09
     0.3202      1.489e-09
     0.3102      1.477e-09
     0.3002      1.466e-09
     0.2902      1.449e-09
     0.2802      1.437e-09
     0.2702      1.422e-09
     0.2602      1.408e-09
     0.2502      1.397e-09
     0.2402      1.391e-09
     0.2302      1.385e-09
     0.2202      1.324e-09
     0.2102      1.326e-09
     0.2002      1.331e-09
     0.1901       1.33e-09
     0.1801      1.322e-09
     0.1701      1.297e-09
     0.1601      1.276e-09
     0.1501      1.252e-09
     0.1401      1.229e-09
     0.1301      1.196e-09
     0.1201      1.159e-09
     0.1101       1.11e-09
     0.1001      1.051e-09
    0.09007      9.723e-10
    0.08006      8.821e-10
    0.07005      7.656e-10
    0.06005      6.238e-10
    0.05004      4.566e-10
    0.04003      2.574e-10
    0.03002      3.288e-11
    0.02002     -2.123e-10
    0.01001     -4.772e-10
          0     -7.516e-10
   -0.01001     -1.021e-09
   -0.02002     -1.285e-09
   -0.03002     -1.535e-09
   -0.04003     -1.762e-09
   -0.05004     -1.951e-09
   -0.06005     -2.127e-09
   -0.07005      -2.26e-09
   -0.08006      -2.39e-09
   -0.09007     -2.482e-09
    -0.1001     -2.552e-09
    -0.1101       -2.6e-09
    -0.1201     -2.653e-09
    -0.1301      -2.69e-09
    -0.1401     -2.711e-09
    -0.1501     -2.734e-09
    -0.1601     -2.754e-09
    -0.1701     -2.769e-09
    -0.1801     -2.782e-09
    -0.1901     -2.793e-09
    -0.2002     -2.804e-09
    -0.2102      -2.81e-09
    -0.2202     -2.816e-09
    -0.2302     -2.824e-09
    -0.2402      -2.83e-09
    -0.2502     -2.833e-09
    -0.2602     -2.837e-09
    -0.2702     -2.843e-09
    -0.2802     -2.847e-09
    -0.2902     -2.846e-09
    -0.3002     -2.856e-09
    -0.3102     -2.858e-09
    -0.3202     -2.851e-09
    -0.3303      -2.86e-09
    -0.3403     -2.854e-09
    -0.3503     -2.856e-09
    -0.3603     -2.859e-09
    -0.3703     -2.853e-09
    -0.3803     -2.857e-09
    -0.3903     -2.855e-09
    -0.4003     -2.853e-09
    -0.4103     -2.849e-09
    -0.4203     -2.848e-09
    -0.4303     -2.847e-09
    -0.4403     -2.848e-09
    -0.4503     -2.842e-09
    -0.4604     -2.836e-09
    -0.4704     -2.836e-09
    -0.4804     -2.831e-09
    -0.4904     -2.826e-09
    -0.5004     -2.823e-09
    -0.4904     -2.795e-09
    -0.4804     -2.775e-09
    -0.4704     -2.751e-09
    -0.4604     -2.731e-09
    -0.4503     -2.702e-09
    -0.4403     -2.684e-09
    -0.4303      -2.66e-09
    -0.4203     -2.635e-09
    -0.4103     -2.609e-09
    -0.4003     -2.587e-09
    -0.3903     -2.562e-09
    -0.3803     -2.531e-09
    -0.3703     -2.508e-09
    -0.3603     -2.476e-09
    -0.3503     -2.449e-09
    -0.3403     -2.422e-09
    -0.3303     -2.392e-09
    -0.3202     -2.361e-09
    -0.3102     -2.329e-09
    -0.3002     -2.298e-09
    -0.2902     -2.272e-09
    -0.2802     -2.237e-09
    -0.2702     -2.203e-09
    -0.2602     -2.164e-09
    -0.2502     -2.125e-09
    -0.2402     -2.089e-09
    -0.2302     -2.054e-09
    -0.2202      -2.02e-09
    -0.2102     -1.981e-09
    -0.2002     -1.943e-09
    -0.1901     -1.902e-09
    -0.1801     -1.862e-09
    -0.1701     -1.819e-09
    -0.1601     -1.778e-09
    -0.1501     -1.732e-09
    -0.1401     -1.683e-09
    -0.1301     -1.629e-09
    -0.1201     -1.561e-09
    -0.1101     -1.493e-09
    -0.1001     -1.411e-09
   -0.09007     -1.312e-09
   -0.08006     -1.196e-09
   -0.07005     -1.053e-09
   -0.06005     -8.887e-10
   -0.05004     -6.989e-10
   -0.04003     -4.763e-10
   -0.03002     -2.302e-10
   -0.02002      4.134e-11
   -0.01001      3.307e-10
          0       6.21e-10
