Applied potential (V)   WE current (A)
          0     -6.003e-10
    0.01001     -3.297e-10
    0.02002     -7.046e-11
    0.03002       1.71e-10
    0.04003      3.964e-10
    0.05004        5.9e-10
    0.06005      7.581e-10
    0.07005          9e-10
    0.08006      1.015e-09
    0.09007      1.109e-09
     0.1001      1.187e-09
     0.1101      1.247e-09
     0.1201      1.297e-09
     0.1301       1.34e-09
     0.1401      1.371e-09
     0.1501        1.4e-09
     0.1601      1.428e-09
     0.1701      1.448e-09
     0.1801      1.469e-09
     0.1901      1.491e-09
     0.2002      1.509e-09
     0.2102      1.531e-09
     0.2202      1.548e-09
     0.2302      1.564e-09
     0.2402      1.577e-09
     0.2502      1.597e-09
     0.2602      1.615e-09
     0.2702      1.633e-09
     0.2802      1.652e-09
     0.2902      1.665e-09
     0.3002      1.681e-09
     0.3102      1.698e-09
     0.3202      1.713e-09
     0.3303      1.726e-09
     0.3403      1.741e-09
     0.3503      1.755e-09
     0.3603      1.773e-09
     0.3703      1.788e-09
     0.3803      1.801e-09
     0.3903      1.819e-09
     0.4003      1.834e-09
     0.4103       1.85e-09
     0.4203      1.863e-09
     0.4303       1.88e-09
     0.4403      1.897e-09
     0.4503      1.905e-09
     0.4604      1.923e-09
     0.4704      1.941e-09
     0.4804      1.955e-09
     0.4904      1.974e-09
     0.5004      1.985e-09
     0.4904      1.982e-09
     0.4804      1.984e-09
     0.4704      1.982e-09
     0.4604      1.978e-09
     0.4503      1.979e-09
     0.4403      1.978e-09
     0.4303      1.981e-09
     0.4203      1.979e-09
     0.4103      1.976e-09
     0.4003      1.978e-09
     0.3903      1.976e-09
     0.3803      1.978e-09
     0.3703      1.975e-09
     0.3603      1.975e-09
     0.3503      1.977e-09
     0.3403      1.976e-09
     0.3303      1.978e-09
     0.3202      1.976e-09
     0.3102      1.978e-09
     0.3002      1.972e-09
     0.2902      1.973e-09
     0.2802      1.971e-09
     0.2702      1.972e-09
     0.2602      1.976e-09
     0.2502      1.979e-09
     0.2402      1.973e-09
     0.2302      1.967e-09
     0.2202      1.965e-09
     0.2102      1.962e-09
     0.2002      1.963e-09
     0.1901       1.96e-09
     0.1801      1.955e-09
     0.1701      1.953e-09
     0.1601      1.946e-09
     0.1501      1.936e-09
     0.1401      1.924e-09
     0.1301      1.903e-09
     0.1201      1.878e-09
     0.1101      1.844e-09
     0.1001        1.8e-09
    0.09007      1.736e-09
    0.08006      1.657e-09
    0.07005      1.554e-09
    0.06005      1.429e-09
    0.05004      1.273e-09
    0.04003      1.089e-09
    0.03002      8.784e-10
    0.02002      6.435e-10
    0.01001      3.946e-10
          0      1.334e-10
   -0.01001     -1.231e-10
   -0.02002     -3.758e-10
   -0.03002     -6.144e-10
   -0.04003      -8.22e-10
   -0.05004     -1.014e-09
   -0.06005     -1.171e-09
   -0.07005       -1.3e-09
   -0.08006     -1.407e-09
   -0.09007     -1.489e-09
    -0.1001     -1.554e-09
    -0.1101     -1.603e-09
    -0.1201     -1.639e-09
    -0.1301     -1.669e-09
    -0.1401     -1.688e-09
    -0.1501     -1.705e-09
    -0.1601     -1.721e-09
    -0.1701     -1.732e-09
    -0.1801     -1.738e-09
    -0.1901     -1.743e-09
    -0.2002     -1.747e-09
    -0.2102     -1.752e-09
    -0.2202     -1.756e-09
    -0.2302     -1.761e-09
    -0.2402     -1.762e-09
    -0.2502     -1.762e-09
    -0.2602     -1.768e-09
    -0.2702     -1.769e-09
    -0.2802     -1.774e-09
    -0.2902     -1.775e-09
    -0.3002     -1.781e-09
    -0.3102     -1.782e-09
    -0.3202     -1.785e-09
    -0.3303     -1.786e-09
    -0.3403     -1.791e-09
    -0.3503     -1.797e-09
    -0.3603     -1.797e-09
    -0.3703     -1.803e-09
    -0.3803     -1.808e-09
    -0.3903     -1.811e-09
    -0.4003     -1.816e-09
    -0.4103     -1.822e-09
    -0.4203     -1.825e-09
    -0.4303     -1.826e-09
    -0.4403     -1.831e-09
    -0.4503     -1.838e-09
    -0.4604     -1.842e-09
    -0.4704     -1.852e-09
    -0.4804     -1.858e-09
    -0.4904     -1.864e-09
    -0.5004     -1.869e-09
    -0.4904     -1.856e-09
    -0.4804     -1.848e-09
    -0.4704     -1.834e-09
    -0.4604     -1.829e-09
    -0.4503     -1.821e-09
    -0.4403     -1.812e-09
    -0.4303     -1.818e-09
    -0.4203     -1.852e-09
    -0.4103     -1.882e-09
    -0.4003     -1.778e-09
    -0.3903         -2e-09
    -0.3803     -1.917e-09
    -0.3703     -1.784e-09
    -0.3603     -1.743e-09
    -0.3503     -1.743e-09
    -0.3403     -1.729e-09
    -0.3303      -1.73e-09
    -0.3202     -1.725e-09
    -0.3102     -1.722e-09
    -0.3002     -1.715e-09
    -0.2902     -1.707e-09
    -0.2802     -1.697e-09
    -0.2702     -1.695e-09
    -0.2602     -1.686e-09
    -0.2502      -1.68e-09
    -0.2402      -1.67e-09
    -0.2302     -1.667e-09
    -0.2202     -1.654e-09
    -0.2102     -1.647e-09
    -0.2002     -1.639e-09
    -0.1901     -1.629e-09
    -0.1801     -1.617e-09
    -0.1701     -1.606e-09
    -0.1601      -1.59e-09
    -0.1501      -1.57e-09
    -0.1401     -1.549e-09
    -0.1301     -1.525e-09
    -0.1201     -1.486e-09
    -0.1101     -1.444e-09
    -0.1001     -1.385e-09
   -0.09007     -1.318e-09
   -0.08006     -1.225e-09
   -0.07005     -1.111e-09
   -0.06005     -9.723e-10
   -0.05004     -8.098e-10
   -0.04003     -6.125e-10
   -0.03002     -3.927e-10
   -0.02002     -1.466e-10
   -0.01001      1.099e-10
          0      3.786e-10
